symbol,exchange,datetime,open,high,low,close,volume
eth_usdt,BINANCE,2018-03-30 00:00:00,407.0,418.68,380.0,384.0,99727.38636
eth_usdt,BINANCE,2018-03-30 08:00:00,383.87,409.87,366.0,405.64,143245.04997999998
eth_usdt,BINANCE,2018-03-30 16:00:00,405.7,412.04,371.0,382.5,78620.02674
eth_usdt,BINANCE,2018-03-31 00:00:00,382.5,395.67,370.0,392.43,70389.71764999999
eth_usdt,BINANCE,2018-03-31 08:00:00,392.4,419.4,388.52,392.06,73356.52589
eth_usdt,BINANCE,2018-03-31 16:00:00,392.06,410.0,391.36,402.46,54421.94811
eth_usdt,BINANCE,2018-04-01 00:00:00,402.46,409.7,389.65,393.92,40055.11999
eth_usdt,BINANCE,2018-04-01 08:00:00,393.93,399.91,374.01,377.29,28047.286780000002
eth_usdt,BINANCE,2018-04-01 16:00:00,377.28,383.0,356.9,360.4,62665.03813
eth_usdt,BINANCE,2018-04-02 00:00:00,360.15,388.0,358.89,378.58,59781.669310000005
eth_usdt,BINANCE,2018-04-02 08:00:00,378.58,391.0,375.05,388.95,41428.03963
eth_usdt,BINANCE,2018-04-02 16:00:00,388.44,394.87,380.54,389.51,39340.86399
eth_usdt,BINANCE,2018-04-03 00:00:00,389.7,390.78,375.0,385.05,32473.23829
eth_usdt,BINANCE,2018-04-03 08:00:00,385.0,402.5,380.13,400.85,47485.51983999999
eth_usdt,BINANCE,2018-04-03 16:00:00,400.86,406.49,395.5,403.7,42747.85969
eth_usdt,BINANCE,2018-04-04 00:00:00,403.8,419.08,402.53,415.01,47664.17612
eth_usdt,BINANCE,2018-04-04 08:00:00,415.0,416.5,397.81,403.13,37200.52557
eth_usdt,BINANCE,2018-04-04 16:00:00,403.12,404.95,370.0,371.1,65164.98315999999
eth_usdt,BINANCE,2018-04-05 00:00:00,371.17,385.33,371.01,378.16,38232.887950000004
eth_usdt,BINANCE,2018-04-05 08:00:00,378.15,384.0,365.61,379.25,45023.25303
eth_usdt,BINANCE,2018-04-05 16:00:00,379.28,387.03,371.47,377.79,45389.20028
eth_usdt,BINANCE,2018-04-06 00:00:00,377.89,385.0,373.32,381.22,29901.60544
eth_usdt,BINANCE,2018-04-06 08:00:00,381.56,385.91,365.5,368.23,34865.6204
eth_usdt,BINANCE,2018-04-06 16:00:00,368.5,371.77,362.54,366.24,24480.97974
eth_usdt,BINANCE,2018-04-07 00:00:00,366.24,371.68,364.7,368.89,15112.09127
eth_usdt,BINANCE,2018-04-07 08:00:00,368.89,382.72,368.28,382.05,22976.08083
eth_usdt,BINANCE,2018-04-07 16:00:00,382.06,388.55,375.5,388.05,23533.10966
eth_usdt,BINANCE,2018-04-08 00:00:00,388.06,394.75,382.63,384.51,24954.23799
eth_usdt,BINANCE,2018-04-08 08:00:00,384.51,393.94,384.0,389.69,13947.17111
eth_usdt,BINANCE,2018-04-08 16:00:00,389.68,404.05,389.55,401.0,26804.208580000002
eth_usdt,BINANCE,2018-04-09 00:00:00,401.0,402.05,394.5,400.4,16644.14967
eth_usdt,BINANCE,2018-04-09 08:00:00,400.4,419.0,400.29,418.81,45102.26237
eth_usdt,BINANCE,2018-04-09 16:00:00,418.81,431.99,387.1,397.06,80856.82295
eth_usdt,BINANCE,2018-04-10 00:00:00,397.09,403.66,389.2,399.44,25694.41881
eth_usdt,BINANCE,2018-04-10 08:00:00,399.25,404.07,393.5,396.09,23068.711079999997
eth_usdt,BINANCE,2018-04-10 16:00:00,396.09,407.8,391.4,406.52,28214.52701
